c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,obj
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00966307,-0.00965007,-0.537,4361420,1,0.62752,0.429336,1.00E+20
0,1,0,1,-0.00697997,-0.010101,-0.505667,0,-1309.5,0.22369,-0.116935,-10337100
1.00E+20,0,0,0,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,0,-0.00967499,-0.010101,-0.58,2.5,-312,0.45551,0.128574,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,1,-0.00515174,-0.00334243,-0.489333,4103950,1,0.53144,0.369369,1.00E+20
0,1,0,1,-0.00694585,-0.0076527,-0.489333,6918380,1,1.58168,0.877905,1.00E+20
0,1,0,1,-0.0078638,-0.00338442,-0.501667,6598310,1,1.46224,0.783219,1.00E+20
0,1,0,1,-0.00988719,-0.00941246,-0.574333,-0.575,-3654.5,-0.422636,-0.253946,-22294100
0,1,0,1,-0.00944296,-0.010101,0.488667,76478000000,1,28537.7,5172.61,1.00E+20
0,0,0,0,-0.00249646,-0.00938917,-0.538,-0.125,-1556.5,-0.492667,-0.137648,-5899270
0,1,0,1,-0.00706115,-0.00109171,-0.546,-0.6,-3989,-0.42465,-0.302097,-24693900
0,1,0,1,-0.00408083,-0.00941666,-0.556667,5129000,1,0.91395,0.698483,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
1.00E+20,0,0,1,1.00E+20,1.00E+20,1,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20
0,1,0,0,-0.00988974,0.00367655,-0.593333,-0.725,-5699,-0.553513,-0.347777,-28982100
0,0,0,1,0.00649581,-0.00862389,-0.436667,2616330,1,-0.023684,0.0135512,1.00E+20
